Rank,learning_rate,batch_size,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
1,0.001,128,30,adam,0.7927470875610673,0.5156085584005612,0.5037699456426442,30,102790
2,0.001,64,30,adam,0.8236753100338219,0.5128025254296738,0.5102577590741715,30,102790
3,0.0005,32,30,adam,0.8022547914317926,0.5122763942476324,0.507101525512888,30,102790
4,0.0005,64,30,adam,0.7705373919579106,0.5070150824272185,0.5030685604068035,30,102790
5,0.0005,128,30,adam,0.7271326568959038,0.5042090494563312,0.5064001402770472,30,102790
6,0.0005,64,20,adam,0.70402104472003,0.4989477376359172,0.5000876731544801,20,102790
7,0.005,64,30,sgd,0.7442690717775272,0.4935110487548229,0.49658074697527615,30,102790
8,0.005,128,30,adam,0.7873355881247651,0.4935110487548229,0.49132035770647026,20,102790
9,0.005,32,30,sgd,0.7984968057121383,0.49228340933005965,0.48851481676310715,28,102790
10,0.001,128,20,adam,0.7273957158962796,0.49175727814801823,0.4902682798527091,20,102790
11,0.0001,32,30,adam,0.6330326944757609,0.4863205892669239,0.4836051201122216,30,102790
12,0.001,64,20,adam,0.756858323938369,0.4857944580848825,0.4879887778362266,20,102790
13,0.001,32,30,adam,0.8151446824502067,0.48561908102420204,0.4751884972821322,24,102790
14,0.005,128,30,sgd,0.667869222096956,0.4824622939319537,0.47816938453445557,30,102790
15,0.0005,64,15,adam,0.6450582487786546,0.48105927744651,0.47799403822549535,15,102790
16,0.0005,32,15,adam,0.6878241262683202,0.4805331462644686,0.4713308784850079,15,102790
17,0.005,128,15,adam,0.7513340849304773,0.47948088390038585,0.477643345607575,15,102790
18,0.005,32,15,sgd,0.6857948139797069,0.4780778674149421,0.4844818516570226,15,102790
19,0.0005,32,20,adam,0.7333333333333333,0.47737635917222027,0.4799228476240575,20,102790
20,0.001,64,15,adam,0.7002254791431792,0.4735180638372501,0.4711555321760477,15,102790
21,0.001,32,20,adam,0.7914693724163848,0.4712381620484041,0.47869542346133614,20,102790
22,0.005,32,20,sgd,0.7444569710635099,0.4703612767450018,0.4762405751358934,20,102790
23,0.005,64,15,adam,0.7564073656520105,0.4703612767450018,0.4737857268104506,15,102790
24,0.001,32,15,adam,0.7332205937617438,0.4694843914415994,0.4813256180957391,15,102790
25,0.005,128,20,sgd,0.5868094701240135,0.4607155384075763,0.45537436436963,20,102790
26,0.005,64,20,sgd,0.6709507703870725,0.45510347246580146,0.44958793617394355,20,102790
27,0.001,32,30,sgd,0.6448327696354754,0.4491406524026657,0.44064527441697354,30,102790
28,0.0005,128,15,adam,0.5912438932732056,0.4487898982813048,0.4439768542872172,15,102790
29,0.0005,128,20,adam,0.6545659526493799,0.4482637670992634,0.4529195160441873,20,102790
30,0.001,128,15,adam,0.6634723788049606,0.44387934058225187,0.4478344730843416,15,102790
31,0.001,64,30,sgd,0.5487786546411124,0.4421255699754472,0.4408206207259337,30,102790
32,0.005,128,20,adam,0.7167230364524615,0.43616274991231146,0.43819042609153075,13,102790
33,0.0001,64,30,adam,0.5832018038331455,0.43493511048754824,0.4402945817990531,30,102790
34,0.005,64,20,adam,0.7426907177752724,0.43055068397053664,0.4318779589689637,15,102790
35,0.005,64,30,adam,0.7320931980458474,0.42879691336373205,0.4290724180256006,13,102790
36,0.001,32,20,sgd,0.5648252536640361,0.4217818309365135,0.40995967034893915,20,102790
37,0.005,128,15,sgd,0.5328447951897782,0.4189757979656261,0.4141679817639839,15,102790
38,0.005,32,30,adam,0.7481773769259676,0.4133637320238513,0.41434332807294405,17,102790
39,0.001,32,15,sgd,0.5109357384441939,0.41178533847772714,0.4059267052428546,15,102790
40,0.005,64,15,sgd,0.6182638105975198,0.41160996141704664,0.408030860950377,15,102790
41,0.0001,32,20,adam,0.5564449455092071,0.4089793055068397,0.40697878309661584,20,102790
42,0.0001,128,30,adam,0.5294250281848929,0.40406874780778673,0.40557601262493426,30,102790
43,0.0001,64,15,adam,0.4522735813603908,0.39705366538056824,0.40382254953533225,15,102790
44,0.005,32,15,adam,0.6905298759864712,0.3967029112592073,0.3924250394529195,12,102790
45,0.0005,32,20,sgd,0.47809094325441565,0.39582602595580496,0.3878660354199544,20,102790
46,0.0001,32,15,adam,0.5,0.3944230094703613,0.3885674206557952,15,102790
47,0.0001,64,20,adam,0.504847801578354,0.3928446159242371,0.39032088374539714,20,102790
48,0.001,128,30,sgd,0.4546035325065765,0.38968782883198877,0.3873399964930738,30,102790
49,0.001,64,20,sgd,0.4760240511086058,0.38547877937565767,0.37559179379274066,20,102790
50,0.0005,32,30,sgd,0.5508831266441188,0.38074359873728514,0.3782219884271436,30,102790
51,0.0005,32,15,sgd,0.4224727546035325,0.3761837951595931,0.3740136770120989,15,102790
52,0.005,32,20,adam,0.6588500563697858,0.37600841809891267,0.37699456426442224,10,102790
53,0.001,64,15,sgd,0.43021420518602027,0.36092599088039284,0.36507101525512886,15,102790
54,0.0005,64,30,sgd,0.45986471251409244,0.35987372851631005,0.3556023145712783,30,102790
55,0.0001,128,20,adam,0.4615933859451334,0.35987372851631005,0.3545502367175171,20,102790
56,0.0001,128,15,adam,0.40815482901164973,0.34847421957207997,0.34788707697702964,15,102790
57,0.001,128,20,sgd,0.3872228485531755,0.3330410382321992,0.33298264071541295,20,102790
58,0.0005,64,20,sgd,0.3891394212701992,0.32918274289722904,0.32702086621076626,20,102790
59,0.0005,128,30,sgd,0.3708380308154829,0.3198877586811645,0.3159740487462739,30,102790
60,0.0001,32,30,sgd,0.3465238632093198,0.30270080673447913,0.30159565141153777,30,102790
61,0.001,128,15,sgd,0.34806463735437804,0.30252542967379864,0.2996668420129756,15,102790
62,0.0005,64,15,sgd,0.3524990605035701,0.29551034724658015,0.2914255654918464,15,102790
63,0.0005,128,20,sgd,0.3102968808718527,0.2777972641178534,0.27301420305102575,20,102790
64,0.0001,64,30,sgd,0.25411499436302143,0.25377060680462993,0.2430299842188322,30,102790
65,0.0001,32,20,sgd,0.2893649004133784,0.24552788495264818,0.24653691039803613,20,102790
66,0.0005,128,15,sgd,0.27406989853438557,0.23974044195019292,0.24022444327546905,15,102790
67,0.0001,32,15,sgd,0.2536264562194664,0.22062434233602246,0.21918288620024548,15,102790
68,0.0001,64,20,sgd,0.20717775272453964,0.20641880042090494,0.20147290899526565,20,102790
69,0.0001,64,15,sgd,0.1720030063885757,0.17204489652753419,0.1711379975451517,15,102790
70,0.0001,128,30,sgd,0.17433295753476136,0.16292528937215012,0.15833771699105734,30,102790
71,0.0001,128,20,sgd,0.11311537016159338,0.10487548228691687,0.10748728739260038,20,102790
72,0.0001,128,15,sgd,0.09064261555806088,0.09066994037179937,0.09118008065930212,15,102790
